nom,code,type,gid,adresse,lon,lat
Association Familiale du Taillan-Médoc (AFT),B,B3,12072,,-0.6706456,44.9047685
Société hippique d'Aquitaine,C,C12,1880,,-0.7058516,44.9233758
Tennis La Forestière,C,C14,1881,,-0.6993936,44.9020115
Salle omnisports Le Palio,C,C2,3877,,-0.6842374,44.9159163
Accueil de loisirs La Cabane,C,C7,12071,Allée de Peydeblanc,-0.6765956,44.9082698
Salle de danse,C,C2,16145,,-0.6704151,44.9032268
Château du Taillan,D,D6,5508,,-0.6618729,44.9063197
Marché de la Boétie,O,O4,15298,Place Buffon,-0.7006702,44.9026943
Marché du Terroir,O,O4,15300,,-0.6687147,44.9055471
Ateliers municipaux,O,O2,1887,Allée de Peydeblanc,-0.6755177,44.9081876
Parking,J,J8,8791,,-0.6804049,44.9120959
Parking Place Michel Réglade,J,J8,3324,,-0.6691591,44.9047087
Ecole Maternelle Gambetta,A,A1,499,Rue Jean Iriquin,-0.5847916,44.819725
Ecole Maternelle Albert Camus,A,A1,554,24 rue Lavoisier,-0.5998694,44.8148455
Ecole Maternelle Paul Lapie,A,A1,564,Rue du Général Bordas,-0.5889977,44.8010286
Ecole Nationale Supérieure d'Arcitecture et de Paysage (ENSAP),A,A5,595,740 cours de la Libération,-0.6030733,44.7935485
OCP - Plusieurs fois,D,D11,18348,,-0.5195621,44.8555316
Ecole Elémentaire Jules Michelet,A,A2,599,,-0.5898453,44.7934955
STS Alfred Kastler,A,A5,680,14 avenue de l'Université,-0.5990904,44.8018651
Centre de recherche INRIA Bordeaux - Sud-Ouest,A,A5,9057,200 avenue de la Vieille Tour,-0.5998631,44.808358
Campus Talence Pessac Gradignan,A,A5,9161,,-0.5969105,44.8090839
UFR Informatique,A,A5,9222,,-0.5966007,44.8083919
Collège Notre-Dame de Sévigné,A,A3,16281,36 allée du 7eme Art,-0.593591,44.8123047
Maison de santé protestante de Bordeaux Bagatelle,B,B1,1725,203 route de Toulouse,-0.5755153,44.8081617
Centre Médico-Psychologique (CMP),B,B2,1736,,-0.5888531,44.811306
Crèche multi-accueil L'Ilot des Enfants,P,P1,1741,84 rue Pierre Renaudel,-0.5913247,44.8138975
Restaurant Universitaire 1,A,A6,1757,,-0.6031341,44.8065477
Crèche multi-accueil Les Libellules et Les Papillons,P,P1,5341,2 rue de la Renaissance,-0.5953819,44.8180339
Foyer Restaurant du Bas,N,N4,7568,19 rue Francis de Pressensé,-0.5865549,44.8201791
Foyer Restaurant du Bas Résidence Mon Village,N,N4,7679,72 rue Alfred Charlionnet,-0.5960559,44.8028242
Eglise Sainte-Marie de la Bastide,D,D10,17623,,-0.5565593,44.8429527
Eglise Saint-Ferdinand,D,D10,17624,,-0.5870607,44.8503732
Eglise Saint-Louis,D,D10,17625,,-0.5718775,44.8514816
Abbatiale Sainte-Croix,D,D10,17633,,-0.56128,44.8310481
Eglise Saint-Paul-Saint-François-Xavier,D,D10,17636,18 rue des Ayres,-0.5729234,44.8367901
Basilique Saint-Seurin,D,D10,17637,,-0.585946,44.8432017
Fontaine Saint Christoly,D,D11,17642,,-0.5774554,44.8397327
Fontaine des trois Grâces,D,D11,17650,,-0.57003,44.8414721
Fontaine Charles Gruet,D,D11,17654,,-0.5801438,44.8465242
Bassin Claveau,D,D11,17656,,-0.5444478,44.879181
Fontaine Fernand Lafargue,D,D11,17657,,-0.5720251,44.837173
Fontaine Daurade,D,D11,17659,,-0.5738129,44.8418237
Statue Michel Eyquem de Montaigne,D,D11,17661,,-0.5728227,44.8449654
"Colonne rostrale, Génie du Commerce (Mercure)",D,D11,17663,,-0.571243,44.8458286
"Colonne rostrale, Génie de l'Industrie",D,D11,17664,,-0.5712144,44.8456458
Sarcophages de l'ancien cimetière St Seurin,D,D11,17665,,-0.5852542,44.8425757
Monument aux morts de Caudéran,D,D11,17670,,-0.6067881,44.8508138
Statue buste Docteur Le Chabrely,D,D11,17671,,-0.5546518,44.8412788
Colonne métallique,D,D11,17675,,-0.6002192,44.8289036
D. Simone Veil,J,J7,17983,,-0.6367641,44.8796633
D. Calypso,J,J7,17984,,-0.6007006,44.8612062
D. Mairie du Bouscat,J,J7,17989,,-0.6050445,44.865419
D. Champ de courses - Treulon,J,J7,17992,,-0.6216676,44.8763987
D. Hippodrome,J,J7,17993,,-0.6284053,44.8739978
D. Eysines Centre,J,J7,17995,,-0.6498549,44.8839178
D. Les Sources,J,J7,17996,,-0.6599485,44.8880144
D. Cantinolle,J,J7,18001,,-0.6673858,44.8918612
Micro-crèche Les petites frimousses,P,P3,18066,6 rue de Sabarèges,-0.5031669,44.9274533
RPA Résidence Autonomie Camille Pelletan,N,N2,18071,47 rue Camille Pelletan,-0.5200574,44.8585121
Micro-crèche Minimoy,P,P3,18186,27 rue Heriard Dubreuil,-0.5926649,44.8479383
City Stade,C,C11,18203,,-0.6484666,44.8509751
Aire de jeux,C,C1,18205,,-0.6514035,44.8522257
Parking Clairière,J,J8,18243,,-0.6143995,44.7749851
IDRAC Business School,A,A5,18291,114 rue Lucien Faure,-0.5610216,44.8647624
Ecole BTS ESARC Evolution,A,A5,18292,20 quai Lawton,-0.5566052,44.8638758
Infosup,A,A5,18294,89 quai des Chartrons,-0.5666155,44.8543039
Institut de Design et d'Aménagement d'Espaces (IDAE),A,A5,18297,10 rue René Cassin,-0.5747414,44.8776263
Institut de la Promotion Commerciale (IPC),A,A5,18298,10 rue René Cassin,-0.5741089,44.876923
Parking Formigé,J,J8,17903,17 rue Formigé,-0.6016287,44.8649701
Forêt du Taillan-Médoc,H,H3,18506,,-0.6997724,44.9193036
CRFCB Bordeaux Médiaquitaine,A,A13,18283,,-0.6051403,44.8251999
Ecole municipale de musique,A,A14,18545,13 avenue du Docteur Gustave Couaillac,-0.5333271,45.0113151
Salle municipale de danse,C,C2,18546,3 avenue du Docteur Gustave Couaillac,-0.5329062,45.0121321
Parc des Berges de Queyries,H,H3,18564,,-0.5652937,44.8465064
Parc aux Angéliques (secteur Deschamps),H,H3,18565,,-0.5555608,44.83636
Micro-crèche Litlle Ornano,P,P3,18625,295 rue d'Ornano,-0.5978862,44.8317462
Crèche multi-accueil Saint-Augustin (en travaux),P,P1,18585,46 cité de l'Eglise Saint Augustin,-0.6082645,44.8325589
Ludothèque Ludoludik,D,D9,18627,97 rue Malbec,-0.5637059,44.8248718
Maison d'assistantes maternelles (MAM) La petite maison,P,P4,18664,30 rue Montmejean,-0.5565808,44.8409781
Presbytère Saint-Bruno,L,L2,18763,75 rue Courpon,-0.5893425,44.8375698
Presbytère Saint-Augustin,L,L2,18764,44 rue Emile Combes,-0.6090868,44.8361762
Réserves Musée des Arts Décoratifs,O,O2,18768,211 avenue de Labarde,-0.5484694,44.8845721
Rock School Barbey,D,D4,18773,18 cours Barbey,-0.5631567,44.8268954
Ecole d'Enseignement Supérieur d'Art de Bordeaux (Annexe),A,A14,18772,3 place Pierre Renaudel,-0.5611563,44.8314645
Maison de l'enfance,P,P5,18061,7 rue Louis Massina,-0.4888302,44.9277887
Crèche familiale Sud,P,P5,18355,5 rue Noviciat,-0.5629717,44.8310614
Maison d'assistantes maternelles (MAM) Association Coquin'ours,P,P4,18356,,-0.6244679,44.8521237
Maison d'assistantes maternelles (MAM) Association Mains à mains,P,P4,18372,84 rue Camille Sauvageau,-0.5625948,44.8320942
Maison d'assistantes maternelles (MAM) Association Au clair de la lune,P,P4,18375,2 rue de Bethmann,-0.6028178,44.8223131
La Maison des familles,P,P5,18684,107 rue Klebert,-0.5703803,44.8264558
Maison d'assistantes maternelles (MAM) Association Mam'ours,P,P4,18378,247 boulevard Maréchal Leclerc,-0.5936356,44.8279306
Maison d'assistantes maternelles (MAM) Association Pomme d'Api,P,P4,18379,38 rue Neuve,-0.5691552,44.8362989
Maison d'assistantes maternelles (MAM) Les Loulous du Parc,P,P4,18388,9 rue Henri Expert,-0.5864735,44.858749
Maison d'assistantes maternelles (MAM) Association Sacré Marmaille,P,P4,18393,14 rue de Tivoli,-0.5889562,44.8538253
Fontaine de figueyreau (ou de figuerau),D,D11,17677,,-0.58483,44.8522132
Statue Vénus,D,D11,17682,,-0.5812341,44.8499341
Statue buste Alexis Millardet,D,D11,17683,,-0.5798058,44.8489656
Statue buste Ulysse Gayon,D,D11,17684,,-0.5798115,44.8486588
Statue Junon,D,D11,17690,,-0.5777299,44.849435
Statue le Vaincu,D,D11,17693,,-0.6039802,44.8510482
Statue Rosa Bonheur,D,D11,17696,,-0.5793125,44.8478032
Statue Intendant Tourny,D,D11,17699,,-0.577945,44.8451064
Statue Malesherbes,D,D11,17700,,-0.5798965,44.8351553
Monument à Camille Jullian,D,D11,17705,,-0.5723784,44.8388421
Statue l'Apôtre,D,D11,17713,20 cours d'Albret,-0.5806657,44.8381155
Monument à la mémoire des Girondins morts en Afrique du Nord (1952-1962),D,D11,17715,,-0.5861486,44.8368423
Monument Armée des Ombres (1940-1944),D,D11,17716,,-0.5830044,44.8374913
"Monument à la mémoire des jeunes Girondins morts en Algérie, Maroc et Tunisie (1952-1962)",D,D11,17717,,-0.5861921,44.8367972
Croix de Saint Genès,D,D11,17718,,-0.5826841,44.8218607
Statue la Nature,D,D11,17719,,-0.5718665,44.8313166
Statue la Science,D,D11,17720,,-0.5718405,44.8311325
Colonne de la place de la Victoire,D,D11,17721,,-0.5727124,44.8308508
Monument A nos Morts La France libre (1945),D,D11,17724,,-0.5830825,44.8372071
Mission locale des Graves - Antenne de Villenave d'Ornon,E,E11,1100,,-0.5733394,44.7786146
Cuisines centrales,O,O2,1111,29 avenue du Général de Castelnau,-0.5461322,44.7701507
Pépinière d'entreprises Arc Sud Développement,F,F7,1118,,-0.5469479,44.7708375
Maison des solidarités Jacques Brel,O,O2,6333,43 avenue du Maréchal Leclerc,-0.5731837,44.7787614
Service urbanisme,O,O2,6390,21 avenue du Général de Castelnau,-0.5465082,44.7706801
Point d'information Jeunesse (PIJ),F,F1,9552,6 rue Paul André Noubel,-0.5444326,44.7698149
Salle Marc Dulout,O,O5,1095,3 rue Georges Duhamel,-0.5406181,44.7711145
Bureau de poste,F,F4,13141,,-0.5827194,44.7656003
Espace vert,H,H1,1131,,-0.5847124,44.7586319
Espace vert,H,H1,1135,,-0.5848197,44.7674229
Espace vert,H,H1,1141,,-0.5733307,44.7875014
Square,H,H1,1144,,-0.5792982,44.7541245
Square,H,H1,1146,,-0.5767839,44.7563318
Square,H,H1,1147,,-0.5720478,44.7556463
Parking Avenue de la Libération,J,J8,1166,,-0.5741277,44.7871602
Gare de Villenave d'Ornon,J,J2,3386,,-0.5473961,44.7687841
C. Villenave Pyrénées,J,J7,17263,,-0.5648735,44.7741663
Stèle Georges Tissot,D,D11,17725,,-0.5829865,44.8376512
Statue Dufour Dubergier,D,D11,17726,20 cours d'Albret,-0.5813839,44.838154
Statue Fieffé,D,D11,17728,20 cours d'Albret,-0.5813488,44.8380505
Statue la Peinture,D,D11,17730,20 cours d'Albret,-0.5811099,44.8373373
Statue buste Ausone,D,D11,17732,,-0.5681822,44.8378676
Fontaine Sculpture,D,D11,17734,,-0.5865792,44.8376043
Statue Vierge à l'enfant,D,D11,17735,,-0.5778933,44.8382516
"Fontaine Sainte-Croix, ou des Bénédictins",D,D11,17737,5 rue des Beaux Arts,-0.5595872,44.8307338
Fronton orné d'un bas relief,D,D11,17740,5 rue des Beaux Arts,-0.5601611,44.8306058
Statue Déesse,J,D11,17741,5 rue des Beaux Arts,-0.5603708,44.8306055
Statue buste Ulysse Despaux,D,D11,17754,,-0.566393,44.8334928
Fontaine parvis Hotel ville,D,D11,17756,,-0.5312135,44.8575855
Junior des salles,C,C8,17843,Rue Voltaire,-0.5092991,44.8442096
Bricothèque,O,O2,17861,6 avenue Pasteur,-0.5288805,44.8305073
Mission locale,O,O2,17881,6 avenue Pasteur,-0.5283047,44.8303366
Parc Fraternité-Espérance,H,H3,17882,,-0.5443907,44.8378064
Aire Rafael Padilla dit le clown Chocolat,O,O2,17961,86 quai de Queyries,-0.5613999,44.8502577
Pôle technique municipal,O,O2,18044,2 côte de Bouliac,-0.5125481,44.8216
Accueil de loisirs sans hébergement (ALSH) Jacques Prévert,C,C7,18045,42 avenue Jean Jaurès,-0.591083,44.8810113
Maison d'assistantes maternelles (MAM) Les petites plumes,P,P4,18062,21 bis avenue de la Liberté,-0.4951672,44.9324586
Maison d'assistantes maternelles (MAM) L'île aux Ti'moun,P,P4,18063,25 avenue de la Liberté,-0.4946285,44.9336305
OCP - Traits d'Union,D,D11,19063,,-0.5663146,44.7819841
Trésorerie,E,E4,2620,1 place du Quatorze Juillet,-0.5487575,44.8077582
Croix Rouge - Equipe locale de Bordeaux,B,B3,3056,16 cours le Rouzic,-0.5516701,44.8441013
Service de santé au travail (AHI33) - Centre de Bordeaux Achard,B,B2,10895,6 rue Achard,-0.5487687,44.8646062
Espace sportif Virginia,C,C4,8510,30 rue Gondalma,-0.6260607,44.8490179
Cour administrative d'appel,E,E12,7471,17 cours de Verdun,-0.5778479,44.8466299
Mission locale Bordeaux Avenir Jeunes - Antenne nord,E,E11,9453,127 avenue Emile Counord,-0.5752319,44.8602254
Agence postale Saint-Rémi,F,F4,2428,58 rue Saint Rémi,-0.5734609,44.841116
Bureau de poste Achard,F,F4,2452,196 rue Achard,-0.5459876,44.8734039
Centre Interarmées de Reconversion (CIR) - Hôtel du Paty,G,G4,3137,1 place Jean Moulin,-0.5772468,44.8384401
Centre de loisirs Nelson Mandela,C,C7,20504,20 rue Marceline Desbordes-Valmore,-0.5680792,44.8818053
Micro-crèche Amusez-vous bien,P,P3,19123,19 avenue de Strasbourg,-0.6111528,44.8570831
Ecole Maternelle Jean-Jacques Sempé,A,A1,19146,17 sente Canis,-0.5603337,44.8643871
Ecole Elémentaire  Jean-Jacques Sempé,A,A2,19147,17 sente Canis,-0.5602413,44.8640616
Ecole Maternelle Modeste Testas,A,A1,19149,22 rue Delbos,-0.5497387,44.8669552
Musée de l'Imprimerie,D,D3,19303,8 rue du Fort Louis,-0.5616643,44.8303899
Collège Jacques Ellul,A,A3,19783,30 rue Gustave Eiffel,-0.5487656,44.8489469
Maison Sport Santé,O,O2,20003,18 rue Carnot,-0.5547575,44.8072029
Familles en Gironde Conseil Conjugal Médiation Familiale,B,B3,20108,14 Cours de l'Intendance,-0.5758643,44.8418092
Association Française des Centres de Consultation Conjugale,B,B3,20109,17 rue Hustin,-0.5787962,44.8469034
Phénix Ecoute et Paroles (PEPS),B,B3,20113,10 avenue de Bel Air,-0.6079265,44.8405828
Le Bistrot Associatif Association ARI - Dispositif ASAIS,B,B3,20114,6 rue ausone,-0.5684423,44.8384994
Caan'Abus - CEID,B,B3,20115,39 Rue Sainte Colombe,-0.5711209,44.8374186
Atelier Graphite (un Ecrivain Public pour Tous à Bordeaux),B,B3,20122,157 Cours Balguerie Stuttenberg,-0.5634372,44.8609191
Groupe Hospitalier Pellegrin - Centre de Planification et d'Education Familiale,B,B2,20124,,-0.6072605,44.828912
Centre ressources Le Petit Trianon,B,B3,20129,10 rue Jean Artus,-0.5834104,44.8621695
Crèche multi-accueil A pas de géant,P,P1,19363,13 rue Raze,-0.5699614,44.851693
Micro-crèche Les Cabanes,P,P3,19366,369 avenue Thiers,-0.5393432,44.8525205
Conservatoire de musique (Le Castel),A,A14,19484,66 boulevard de Malartic,-0.5956668,44.7685655
Boulodrome,C,C1,19385,,-0.5616916,44.8293682
City stade Bühler,C,C11,19665,,-0.5724792,44.8760987
Centre ressources Grand Bon Pasteur,B,B3,20131,6 avenue Charles de Gaulle,-0.5986628,44.8479224
Centre médico-scolaire Bordeaux Nord,B,B2,3098,9 rue Gouffrand,-0.5727326,44.8556027
RPA Les Fontaines de Picot,N,N2,19404,163 avenue du Général de Gaulle,-0.7430776,44.9048047
Crèche multi-accueil Les Enfants d'Osiris (La Maison bleue),P,P1,11160,11 cours Marc Nouaux,-0.5938135,44.8462028
Complexe sportif du Burck,C,C4,19463,1 rue Maréchal Foch,-0.6360515,44.8169538
Crèche multi-accueil La Maison Bleue Odette Pilpoul,P,P1,19804,4 rue Odette Pilpoul,-0.5505134,44.8666658
Le Puits - Bibliothèque sur la Technique,D,D11,19883,,-0.564771,44.8480149
Micro-crèche Aux P'tits Bouchons,P,P3,18844,12 rue Jacques Brel,-0.5085022,44.8944688
Bois du Moulin,H,H3,18923,27 rue Pasteur,-0.5121623,44.8921159
Le Petit Théâtre,D,D4,14381,10 rue du Faubourg des Arts,-0.5678499,44.8553774
Terrain de handball,C,C15,16005,53 avenue du Port du Roy,-0.6142285,44.9111021
Ecole Elémentaire Les Floranies,A,A2,18866,15 chemin de Beaufeu,-0.5162115,44.8276966
Ecole Elémentaire Saint-Projet,A,A2,18867,263 rue d'Ornano,-0.5966045,44.8321243
Ecole Montessori du Lac,A,A2,18869,7 place Jean Cayrol,-0.5725249,44.8799392
Lycée Jacques Prévert,A,A4,18872,173 rue du Jardin Public,-0.5733599,44.8562465
Ecole professionnel Monceau Citea,A,A5,18873,10 quai de Paludate,-0.5566275,44.8298427
Parking Edward Richet,J,J8,19243,,-0.5151957,44.8997276
City stade,C,C11,19264,12 rue Anatole Merleau-Ponty,-0.4748612,44.9566845
Association Initiatives et Démarches pour l'Education et l'Animation Locale (IDEAL),C,C8,19265,13 avenue Gustave Eiffel,-0.4683395,44.9533936
Ecole de coiffeur et d'esthétique Alain Bergé,A,A5,18876,Rue Robert Caumont,-0.5749007,44.8760056
Service Accueil Familial (SAF),P,P5,18881,27 rue Pasteur,-0.5119,44.8924109
Service Accueil Familial (SAF),P,P5,18883,39 avenue de l'Hippodrome,-0.6271853,44.8754348
Service Accueil Familial (SAF),P,P5,18888,22 boulevard Saint Martin,-0.6292459,44.8036976
Crèche multi-accueil du Centre Maternel de l'enfance et la famille Gribouille,P,P1,18890,48 rue de la Vieille Tour,-0.5999464,44.8137827
Service Accueil Familial (SAF) L'Arbre Enchanté,P,P5,18891,84 rue Pierre Renaudel,-0.5914295,44.8138217
Micro-crèche Attitude Eysines,P,P3,18899,5 rue Olivier de Serres,-0.655966,44.8895814
Micro-crèche Chez Lucie,P,P3,18901,34 allée de Brignon,-0.5706181,44.769082
Unité de Soins de Longue Durée (USLD) Henri Choussat,N,N1,18903,28 avenue du Haut Lévèque,-0.6597599,44.798574
EHPAD Résidence de Chambéry,N,N1,18904,35 route de Léognan,-0.579688,44.7690795
Ecole Elémentaire Montessori Internationale de Bordeaux,A,A2,19503,,-0.6426886,44.7730474
Espace Michel Serres,O,O5,19863,,-0.5163544,44.9109071
Protection Maternelle et Infantile Saint-Jean (PMI),B,B7,19846,15 rue Belle Etoile,-0.5593165,44.8286963
Centre médico-social Saint-Jean,B,B2,19847,15 rue Belle Etoile,-0.5592545,44.8287603
Proctection Maternelle Infantile Bordeaux Centre (PMI),B,B7,19848,14 rue Poitevin,-0.5832342,44.8456158
Centre médico-social Bordeaux Lac,B,B2,19855,47 rue Charles Tournemire,-0.571656,44.8732344
Terrain de rugby,C,C15,16323,6 cours Jules Ladoumègue,-0.5702091,44.9029195
Salle omnisports S2,C,C2,16482,6 cours Jules Ladoumègue,-0.5674068,44.8987464
Ecole Maternelle Frida Kahlo,A,A1,21165,Chemin du Reduit,-0.5972963,44.882847
Ecole Elémentaire Anita Conti,A,A2,21172,9 chemin de Geles,-0.6664984,44.9143204
Mission locale Avenir Jeunes - Antenne Nord Est,E,E11,21203,178 rue Achard,-0.5470021,44.8713964
Ecole Elémentaire Emile Barbou,A,A2,691,Avenue André Vignau Anglade,-0.5027369,44.8950939
Ecole Maternelle Louis Pergaud,A,A1,456,,-0.522747,44.8575081
Ecole Maternelle Alain Fournier,A,A1,457,14 rue Alain Fournier,-0.521204,44.8580227
Ecole Maternelle Charles Perrault,A,A1,461,,-0.5112332,44.8535926
Ecole Elémentaire Van Gogh,A,A2,462,,-0.5123246,44.8527635
Ecole municipale de musique,A,A14,796,Avenue Hubert Dubedout,-0.5077416,44.84718
Auditorium,D,D4,4602,Avenue Hubert Dubedout,-0.5075228,44.8473077
Ecole Elémentaire Malartic,A,A2,636,2 boulevard de Malartic,-0.5970942,44.7712328
Dojo,C,C2,16180,153 rue Izzet Koç,-0.5245672,44.8657994
Pôle Territorial Rive Droite,M,M2,5439,1 rue Romain Rolland,-0.5244495,44.8816593
Ecole Elémentaire Albert Camus,A,A2,489,,-0.5182935,44.8724363
Ecole Elémentaire Jean Rostand,A,A2,493,,-0.5122072,44.8762346
Ecole Maternelle Rosa Bonheur,A,A1,496,2 rue de l'Esperanto,-0.52218,44.8706138
Parking,J,J8,16841,,-0.680108,44.8158162
Centre de recyclage Mérignac,M,M5,900,155 avenue des Marronniers,-0.6888832,44.8463866
Ecole Elémentaire Cap de bos,A,A2,549,9 rue du Comté,-0.6840292,44.7907451
Service Territorial 5,M,M3,1709,165 avenue des Marronniers,-0.6891227,44.8472941
Bibliothèque,D,D1,20644,8 allée André Dolange,-0.7788218,44.8445033
EHPAD Bord'oh,N,N1,20645,,-0.5565372,44.8447955
Complexe aqualudique du Loret,C,C3,20783,28 rue Clément Ader,-0.5089899,44.8567378
Ecole Maternelle Marie de Gournay,A,A1,21163,Rue de Cénac,-0.5521573,44.8378774
Dojo Bordeaux Talence Métropole,C,C2,21143,84 cours Aristide Briand,-0.5752989,44.8316463
Maison d'assistantes maternelles (MAM) Le Nid des Tout p'tits,P,P4,21189,26 avenue de la Californie,-0.6764891,44.7927708
Micro-crèche Blablababy,P,P3,21192,8 rue Pierre Curie,-0.629925,44.8068694
Secours Catholique,B,B3,11621,211 avenue de Thouars,-0.5922955,44.7925365
Stade nautique Henri Deschamps,C,C3,1765,235 avenue de Thouars,-0.5925266,44.7910377
Stade Pierre-Paul Bernard,C,C13,4597,23 rue Georges Carpentier,-0.5971319,44.7917967
Ludothèque Le Bilboquet,D,D9,13040,27 allée des Petits Rois,-0.5925691,44.7879021
Parcours sportif,C,C1,16284,,-0.5995437,44.7916523
Talence Pépinière,E,E11,8111,10 chemin des Maures,-0.5917265,44.788629
Crèche multi-accueil Benauge 3,P,P1,20766,10 rue Docteur Yersin,-0.5430019,44.845844
Micro-crèche Pomme d'Happy 2,P,P3,20764,9 square René Rougerie,-0.6305139,44.8584448
Micro-crèche Les Petits preneurs,P,P3,20765,44 rue Pasteur,-0.6016578,44.844497
Service Territorial 3,M,M3,1107,15 rue Yvon Mensencal,-0.577956,44.7824826
Service Territorial 6,M,M3,1886,,-0.7112712,44.9065135
Réserves Musée d'Aquitaine,O,O2,18767,25 avenue du Docteur Schinazi,-0.5428377,44.8828089
Sculpture de François Cate Pacos,D,D11,17708,,-0.5847227,44.837059
BxMétro - Le Guyenne,M,M1,2549,7 terrasse Front du Médoc,-0.5867536,44.8381499
Relais Petite Enfance Sud Bastide (RPE) - Siège,P,P5,11319,37 allée Jean Giono,-0.5618034,44.8448818
Crèche multi-accueil Plume de Pan,P,P1,18889,221 avenue de Thouars,-0.5927726,44.7923176
Parking souterrain Mérignac Centre (Metpark),J,J10,21224,,-0.6476945,44.8425261
Relais Petite Enfance Sud Bastide (RPE) - Site distant,P,P5,20745,35 rue Jean Mermoz,-0.5737596,44.8177722
Relais Petite Enfance Nord Maritime (RPE) - Site distant,P,P5,20751,58 rue Joséphine,-0.5619349,44.8602346
Relais Petite Enfance Nord Maritime (RPE) - Site distant,P,P5,20752,489 avenue de Laroque,-0.5731714,44.874512
Halte de jour Stalingrad,B,B3,20754,11 avenue Thiers,-0.5583369,44.8408258
Service Animation,O,O2,20963,Avenue André Vignau Anglade,-0.5042098,44.8948598
Parc Nelson Mandela,H,H3,20564,,-0.7751621,44.8406322
Centre social Ricochet,B,B4,20686,Rue Pompière,-0.5891161,44.8688775
Maison du vélo et des moblitiés alternatives Etu'recup,C,C8,20903,13 avenue Pey Berlan,-0.6106737,44.8005015
Maison itinérante du vélo et des mobilités alternatives Vélo-Cité,C,C8,20906,,-0.5109575,44.845907
Eglise protestante réformée évangélique,O,O1,20983,4 avenue Jean Jaurès,-0.5383097,44.8538092
Ecole Elémentaire Docteur Albert Schweitzer,A,A2,238,12 bis rue du Docteur Schweitzer,-0.581857,44.8622233
STS Jean Condorcet,A,A5,240,89 Rue Condorcet,-0.5778294,44.8591435
Ecole Elémentaire Condorcet,A,A2,241,,-0.5792669,44.8593033
Ecole Maternelle Condorcet,A,A1,242,79 cours de Luze,-0.5799354,44.8589839
Centre de Formation Professionnelle Bordeaux Nord Aquitaine (CFPBNA),A,A12,244,6 rue Robert Charazac,-0.5763749,44.8638397
Ecole Maternelle Paul Berthelot,A,A1,245,25 rue Paul Berthelot,-0.5721153,44.8565008
Ecole de Commerce Européenne (ECE),A,A5,250,91 quai des Chartrons,-0.5662471,44.8544318
Ecole Maternelle Stéhélin,A,A1,251,1 bis rue Domion,-0.6241709,44.8562124
Ecole Elémentaire Stéhélin,A,A2,252,1 rue Domion,-0.6247281,44.8556796
Ecole Elémentaire Pins Francs,A,A2,253,10 rue Jude,-0.6252306,44.8594084
Ecole Elémentaire Paul Doumer,A,A2,256,Rue Paul Doumer,-0.6168999,44.8575788
Ecole Maternelle Paul Lapie,A,A1,261,Place Martyrs Résistance,-0.6152699,44.8510784
CPGE Sainte-Marie Grand Lebrun,A,A5,265,164 avenue Charles de Gaulle,-0.6064201,44.8502739
Ecole Elémentaire du Bon Pasteur,A,A2,270,5b rue de l'Ecole Normale,-0.5989781,44.8471811
Ecole Supérieure du Professorat et de l'Education (ESPE),A,A5,272,49 rue de l'Ecole Normale,-0.6014125,44.8479724
INSUP Aquitaine,A,A5,275,37 rue Labottière,-0.5903543,44.8529604
Ecole Elémentaire David Johnston,A,A2,279,44 rue David Johnston,-0.584642,44.8506973
Ecole Maternelle Thiers,A,A1,295,4 rue Savigné Chanteloup,-0.5426645,44.8499041
Ecole Elémentaire Raymond Poincaré,A,A2,297,28 avenue Raymond Poincaré,-0.6193103,44.8446096
Ecole d'esthétique Cécile Briat,A,A13,299,21 rue Maréchal Foch,-0.6232651,44.8405636
Ecole Elémentaire Bel-Air,A,A2,302,3 rue Victor Caffin,-0.608099,44.8391656
Ecole Maternelle Bernard Adour,A,A1,303,119 rue Bernard Adour,-0.6052914,44.8386286
Ecole de management hôtelier Vatel,A,A5,18290,4 Cours du Médoc,-0.564338,44.8558767
"Institut Thérapeutique, Educatif et Pédagogique La Marelle (ITEP)",A,A11,802,18 chemin Passerat,-0.5363352,44.8063895
Section d'Enseignement Général et Professionnel Adapté Collège Pablo Neruda (SEGPA),A,A11,7561,1 chemin de Mussonville,-0.5631955,44.7942571
Maison municipale de la musique,A,A14,8570,55 avenue Maréchal de Lattre de Tassigny,-0.5423856,44.8063658
Centre de Formation de l'Union Bordeaux Bègles,A,A13,13496,113 avenue du Professur Bergonié,-0.5524102,44.806446
"Institut Thérapeutique, Educatif et Pédagogique Terre-Neuvas (ITEP)",A,A11,15844,12 rue Marcel Bouc,-0.5553361,44.8125729
Espace éducatif maternel Jean Zay,A,A1,17581,19 rue Irène et Frédéric Joliot-Curie,-0.5460155,44.8010139
Crèche multi-accueil 3 P'tits Tours,P,P1,191,47 rue Charles Lamoureux,-0.5609949,44.8037518
Service de santé au travail (AHI33) - Centre de Bègles,B,B2,10077,26 rue Ferdinand Buisson,-0.5579007,44.8037565
Crèche multi-accueil People&Baby Mille Trésors,P,P1,11338,3 rue Louis Blériot,-0.5290764,44.7969616
Association pour le DEveloppement Local et l'Emploi (ADELE),B,B3,2662,25 avenue Robert Schuman,-0.5506458,44.8143973
Plage urbaine,C,C9,156,,-0.5368638,44.8026802
Complexe sportif Serge Duhourquet,C,C4,186,,-0.5479619,44.8143548
Maison du vélo et des mobilités,C,C8,187,28 rue Léon Gambetta,-0.5510225,44.8074397
